,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
24,1,0,0,2018-09-30,8,260,1,3,1,10.1,2.2,-1.385726,0.962879642,-0.881886595,-0.172921592,-1.011881638,-0.898900475,1,12,7,1,15.21294003,4,2.666666667,2018,9,0.365216345,0,9
25,1,0,0,2018-09-30,8,260,4,4,1,82.8,11.2,-0.87629371,0.194162862,0.268946301,-1.051117987,-0.837512715,1.191806035,1,10,4,3,15.4127792,7,5.666666667,2018,9,0.072705746,0,8
26,1,0,0,2018-09-30,8,260,12,5,1,66.1,9.4,0.397287014,0.679668197,0.125092189,-0.588303525,-1.011881638,-1.231301803,0,1,2,5,15.10362919,1,7.333333333,2018,9,0.087826461,0,6
27,0,0,1,2018-09-30,8,260,7,4,1,51.3,7.5,-0.87629371,0.173933473,0.844362749,0.008168561,1.056862839,2.062462613,1,5,7,4,15.97060171,10,3.333333333,2018,9,0.098050982,0,5
28,0,1,0,2018-09-30,8,260,9,4,1,33.9,3.5,-0.87629371,0.416686141,-0.594178371,-1.07963308,-0.784858063,1.234030139,0,4,4,6,15.42238223,8,4,2018,9,0.198206663,0,4
29,0,1,0,2018-09-30,8,260,5,4,1,19.3,4.1,0.906719304,0.983109031,-0.881886595,-0.179241795,-1.112033408,-1.302722715,1,11,12,9,15.1388059,2,2,2018,9,0.173268721,1,3
30,0,0,1,2018-09-30,8,260,8,4,1,11.4,2,-0.621577566,-0.594783306,2.139049757,-0.558960539,-0.758470766,-0.840434629,0,5,1,12,15.20157319,3,3,2018,9,0.3688173,1,2
31,1,0,0,2018-09-30,8,260,2,3,1,1.4,1.1,1.416151593,0.659438808,-0.306470147,0.283343781,1.65826892,1.361285524,1,10,2,3,15.99678209,11,1.333333333,2018,9,0.733992219,1,1
32,1,0,0,2018-09-30,7,6031,3,4,1,4.7,1.7,0.397287014,1.064026587,1.132070973,0.859044661,1.203629381,1.583955439,1,12,7,1,16.04755224,8,3.666666667,2018,9,0.375937492,0,12
33,1,0,0,2018-09-30,7,6031,2,3,0,79.8,17,-0.112145276,0.457144919,6.02311078,0.531581949,1.223287251,0.014618915,1,1,2,5,15.77444286,2,9,2018,9,0.042277068,0,10
34,0,1,0,2018-09-30,7,6031,11,3,1,3.7,1.6,1.925583883,0.881962086,-0.738032483,0.859044661,1.056862839,0.683091433,1,9,3,4,15.89540026,5,4,2018,9,0.456121534,0,8
35,1,0,0,2018-09-30,7,6031,6,3,1,14.2,3.4,0.652003159,0.780815142,-0.162616035,1.103026213,-1.325377961,0.950081907,1,11,12,9,15.62328704,1,5.333333333,2018,9,0.182499796,0,5
36,0,0,1,2018-09-30,7,6031,1,3,0,18.7,6.1,-0.87629371,-0.432948195,0.844362749,0.308012206,1.105654561,0.93216045,0,10,4,3,15.85767305,4,5,2018,9,0.193193257,1,3
37,0,1,0,2018-09-30,7,6031,4,4,1,10.3,2.8,-0.112145276,-0.089048583,-0.450324259,0.910523769,0.993254,1.344267397,1,3,2,4,15.98969973,6,4.333333333,2018,9,0.211032078,1,2
38,0,1,0,2018-09-30,6,1272,6,5,0,54.2,9.1,-0.87629371,-0.534095139,-0.881886595,-0.441089138,0.862988449,-0.188414747,1,9,5,4,15.54956344,9,6.333333333,2018,9,0.08783368,0,12
39,1,0,0,2018-09-30,6,1272,2,4,1,124.3,15.2,0.142570869,0.61898003,3.002174428,-1.334140927,-1.234950955,1.748378649,0,8,7,6,15.39413882,7,7,2018,9,0.053866703,0,11
40,1,0,0,2018-09-30,6,1272,10,4,1,24.1,4.2,-0.112145276,0.457144919,2.570612092,-1.501712925,-0.77899768,0.579450204,0,1,2,5,15.26616509,3,5.666666667,2018,9,0.175430164,0,10
