,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
0,0,0,1,2018-09-30,11,5057,11,4,0,40.2,8.3,-1.385726,-0.190195527,-2.320427715,1.454755235,1.701468917,-2.634194463,0,2,6,2,15.59516553,2,6,2018,9,0.073175378,0,11
1,0,0,1,2018-09-30,11,5057,6,5,1,68.3,11.8,0.652003159,0.194162862,0.412800413,0.040870403,-1.325377961,1.156693104,1,5,7,4,15.49717036,1,6,2018,9,0.094263464,0,10
2,0,0,1,2018-09-30,11,5057,8,5,1,6.8,2.2,-0.87629371,-0.432948195,0.700508637,1.643153166,0.862988449,0.551052508,1,1,2,5,15.96325839,11,4.666666667,2018,9,0.228419214,0,9
3,0,1,0,2018-09-30,11,5057,4,4,1,66.4,10.6,-0.87629371,0.720126975,1.995195645,0.210015924,0.506774574,0.816097677,0,10,4,3,15.73925239,3,5.333333333,2018,9,0.097525053,0,8
4,1,0,0,2018-09-30,11,5057,9,4,1,23.6,3.8,1.161435448,0.093015918,0.268946301,0.727341631,0.859280226,2.010973438,0,4,4,6,16.04007051,12,3.333333333,2018,9,0.207329914,0,7
5,0,0,1,2018-09-30,11,5057,12,3,1,12.4,3.4,-0.87629371,-0.008131027,0.412800413,0.991717284,1.50072284,0.20001414,0,10,2,3,15.90936946,9,4.333333333,2018,9,0.223509446,0,6
6,0,1,0,2018-09-30,11,5057,7,3,1,5.9,1.6,-1.385726,-0.432948195,-0.594178371,1.260014455,0.286825892,0.472289085,0,8,7,11,15.81164993,5,4.666666667,2018,9,0.360571861,0,5
7,0,0,1,2018-09-30,11,5057,3,3,1,4,1.9,-0.112145276,0.072786529,0.556654525,0.693006882,0.814840411,1.175591741,0,5,1,12,15.90727267,8,4.333333333,2018,9,0.440250933,0,4
8,0,1,0,2018-09-30,11,5057,10,3,1,8.5,2.1,-0.621577566,-0.14973675,-0.450324259,1.260014455,0.59425929,0.638971501,1,12,1,9,15.88059635,7,2.333333333,2018,9,0.233471736,1,3
9,1,0,0,2018-09-30,11,5057,2,6,1,48.7,8.7,-1.385726,-0.109277972,0.125092189,0.509962538,0.488082939,1.149678553,0,5,10,10,15.8290475,6,5.666666667,2018,9,0.128918335,1,2
